#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-113.046477,100,17.355387
-98.480836,100,17.402519
-112.087948,100,17.950866
-104.75805,100,17.995067
-110.680096,100,18.042882
-104.485157,100,18.088585
-98.362966,100,18.136323
-104.776784,100,18.181819
-102.1503,100,18.229229
-115.72508,100,18.274583
-105.696609,100,18.321283
-113.564041,100,18.366552
-94.349691,100,18.41313
-119.835441,100,18.458447
-105.145498,100,18.505186
-100.031445,100,18.550639
-112.373838,100,18.595911
-107.381207,100,18.64276
-109.125784,100,18.688057
-101.078266,100,18.735245
-104.6537,100,18.780628
-108.098216,100,18.827418
-121.576096,100,18.872815
-109.720113,100,19.429613
-110.768806,100,19.475785
-115.522784,100,19.523029
-107.657131,100,19.56894
-111.980201,100,19.614569
-100.399433,100,19.661753
-117.791278,100,19.707796
-106.006886,100,19.755394
-100.006454,100,19.801215
-97.159078,100,19.849003
-107.238547,100,19.894459
-119.750448,100,19.941465
-98.157615,100,19.98689
-89.903421,100,20.033637
-100.67337,100,20.079093
-103.326054,100,20.124248
-102.996454,100,20.171324
-106.48248,100,20.2168
-102.57168,100,20.263925
-109.506282,100,20.309289
-106.833374,100,20.862397
-99.519377,100,20.906546
-103.235754,100,20.953921
-97.11683,100,20.999769
-108.271793,100,21.04661
-107.363819,100,21.092021
-108.137588,100,21.137334
-99.114434,100,21.184654
-99.961228,100,21.230397
-108.679724,100,21.277712
-119.003894,100,21.323114
-110.257373,100,21.369982
-104.335215,100,21.415424
-114.07998,100,21.462148
-99.072963,100,21.507774
-103.033854,100,21.554467
-107.05032,100,21.59998
-102.451869,100,21.645397
-94.293824,100,21.69262
-102.370418,100,21.73844
-105.613815,100,21.785504
-111.566364,100,22.348274
-101.974743,100,22.396632
-98.028703,100,22.442889
-117.84935,100,22.490389
-95.647745,100,22.536293
-116.465276,100,22.583667
-94.046738,100,22.629773
-98.263804,100,22.676696
-109.290167,100,22.723386
-92.150095,100,22.770206
-102.544929,100,22.81633
-106.238909,100,22.861467
-101.832075,100,22.908891
-107.347487,100,22.954724
-107.266785,100,23.002085
-96.73784,100,23.047798
-105.459454,100,23.094642
-104.724664,100,23.140159
-96.097677,100,23.187299
-107.277088,100,23.232901
-106.5765,100,23.790064
-105.539234,100,23.836355
-107.190841,100,23.88196
-101.742211,100,23.92986
-103.586553,100,23.975694
-115.320358,100,24.023442
-95.231431,100,24.069155
-96.474695,100,24.116627
-95.02038,100,24.162119
-99.960747,100,24.210658
-100.219186,100,24.256619
-117.492212,100,24.30383
-87.324318,100,24.34962
-94.723585,100,24.396571
-109.718189,100,24.442818
-112.161292,100,24.487777
-103.247865,100,24.535125
-97.960687,100,24.580636
-96.973582,100,24.627903
-107.470774,100,24.673284
-96.829705,100,24.720512
-98.87287,100,25.276955
-95.414316,100,25.324364
-90.889111,100,25.370726
-108.53422,100,25.417801
-92.439935,100,25.463929
-99.477989,100,25.511032
-98.93689,100,25.557368
-106.982805,100,25.603188
-103.566225,100,25.650491
-97.838463,100,25.696194
-96.531196,100,25.743376
-110.334906,100,25.788795
-92.43354,100,25.835723
-97.731189,100,25.881283
-101.029397,100,25.928165
-112.986899,100,25.973739
-94.252769,100,26.020556
-103.556241,100,26.066419
-91.06986,100,26.111343
-99.653518,100,26.158562
-103.346109,100,26.702669
-93.153882,100,26.748448
-104.631806,100,26.792072
-92.208141,100,26.837175
-121.784489,100,26.880641
-97.467493,100,26.923949
-84.222278,100,26.96891
-86.734786,100,27.014364
-94.080319,100,27.061401
-101.186388,100,27.107189
-96.428462,100,27.154058
-103.863999,100,27.199965
-98.96857,100,27.247039
-96.573597,100,27.292804
-93.766213,100,27.339794
-94.809771,100,27.385834
-101.200781,100,27.431006
-96.204779,100,27.478088
-100.722899,100,27.523533
-98.020025,100,27.570644
-87.474074,100,27.616238
-93.280364,100,28.170466
-89.276717,100,28.216226
-96.923085,100,28.263291
-110.873615,100,28.308709
-96.226735,100,28.355513
-98.363092,100,28.401168
-89.860941,100,28.446337
-96.420759,100,28.493242
-105.608998,100,28.538324
-94.206984,100,28.585235
-92.023052,100,28.630467
-90.076885,100,28.677227
-85.064064,100,28.722662
-106.12747,100,28.769464
-99.566277,100,28.814766
-95.275091,100,28.861242
-89.713619,100,28.906543
-100.799272,100,28.951626
-103.866399,100,28.998645
-97.775373,100,29.043859
-90.196483,100,29.603492
-90.092739,100,29.649447
-97.7102,100,29.697189
-85.529268,100,29.743424
-96.474167,100,29.789602
-99.746019,100,29.835276
-109.713232,100,29.882175
-95.182093,100,29.927759
-87.589045,100,29.974897
-105.439577,100,30.018495
-105.029686,100,30.061654
-82.425257,100,30.106434
-94.307884,100,30.149374
-88.971024,100,30.194096
-89.428255,100,30.237297
-88.985958,100,30.281885
-96.832006,100,30.325162
-95.6369,100,30.368445
-89.369542,100,30.413123
-92.054986,100,30.456057
-79.777294,100,30.500988
-87.859175,100,31.052749
-107.248559,100,31.097292
-90.687776,100,31.140984
-91.885194,100,31.183926
-97.604417,100,31.228861
-97.644487,100,31.27198
-87.92173,100,31.316267
-78.620343,100,31.359064
-91.566891,100,31.403025
-93.290054,100,31.447688
-96.167671,100,31.492546
-86.246102,100,31.540118
-89.159268,100,31.585357
-87.154799,100,31.632828
-78.649344,100,31.677247
-89.880285,100,31.723761
-87.043532,100,31.769395
-97.442133,100,31.816471
-93.568758,100,31.862365
-85.041478,100,31.909116
-87.155372,100,32.467048
-84.309074,100,32.512713
-90.06096,100,32.556647
-88.243688,100,32.600199
-100.194329,100,32.645172
-93.137896,100,32.688596
-90.676502,100,32.733894
-84.008523,100,32.777379
-96.721732,100,32.82243
-94.46069,100,32.865588
-86.398668,100,32.908514
-89.377204,100,32.95327
-88.147097,100,32.99662
-92.990335,100,33.04133
