#{"t_start": 1733160959.42986, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
100.0,470,737.949816
155.0,472,740.421427
85.0,307,742.029361
85.0,362,743.93786
45.0,481,746.441622
180.0,585,749.519145
105.0,295,751.088862
170.0,833,755.432534
150.0,627,758.748401
185.0,601,761.939114
140.0,384,763.962045
95.0,268,765.375569
400.0,1001,770.628575
405.0,692,774.197379
210.0,662,777.651802
210.0,877,782.210049
180.0,447,784.543344
80.0,288,786.042941
110.0,446,788.40286
445.0,630,791.693282
210.0,629,795.019047
185.0,444,797.36763
110.0,523,800.083121
140.0,557,803.042125
410.0,832,807.438754
75.0,307,809.051214
300.0,670,812.562316
115.0,579,815.623056
140.0,484,818.209669
335.0,767,822.291159
260.0,701,825.977838
135.0,498,828.564983
135.0,397,830.688389
155.0,376,832.691748
135.0,463,835.140667
225.0,613,838.385358
80.0,288,839.873816
100.0,287,841.404452
210.0,528,844.238359
270.0,752,848.186088
45.0,283,849.711782
275.0,642,853.068926
260.0,627,856.384756
395.0,993,861.632961
155.0,579,864.728791
210.0,514,867.453881
155.0,496,870.098961
260.0,871,874.753491
155.0,507,877.440765
135.0,443,879.769442
105.0,431,882.087492
45.0,313,883.748831
110.0,386,885.780351
210.0,501,888.498924
155.0,523,891.252116
190.0,509,893.964609
165.0,587,897.099009
135.0,417,899.280269
295.0,720,903.147699
210.0,511,905.929247
90.0,468,908.42423
185.0,605,911.644273
135.0,530,914.486759
55.0,366,916.392718
135.0,432,918.658084
105.0,385,920.705898
155.0,453,923.144811
150.0,312,924.810697
105.0,473,927.356334
210.0,619,930.73874
90.0,294,932.299305
65.0,306,933.94808
80.0,377,935.950638
105.0,290,937.493779
315.0,770,941.64392
180.0,577,944.705019
285.0,817,949.072561
150.0,595,952.258754
225.0,551,955.252998
100.0,448,957.596013
135.0,344,959.465659
210.0,621,962.808601
135.0,486,965.455053
130.0,407,967.61323
240.0,560,970.560637
105.0,276,972.062018
260.0,555,975.04738
290.0,599,978.271553
80.0,381,980.306718
210.0,418,982.586138
110.0,386,984.641925
240.0,589,987.804415
170.0,405,989.989765
255.0,622,993.307175
445.0,1024,998.744508
515.0,759,1002.784024
60.0,297,1004.346414
105.0,471,1006.863808
125.0,501,1009.511446
105.0,292,1011.107204
155.0,487,1013.740424
150.0,425,1016.021105
155.0,409,1018.212305
65.0,285,1019.737726
65.0,285,1021.279499
130.0,381,1023.296313
110.0,374,1025.305596
180.0,359,1027.252094
105.0,290,1028.857229
110.0,477,1031.458622
455.0,686,1035.154238
150.0,497,1037.868695
85.0,343,1039.688699
120.0,422,1041.973628
110.0,364,1043.946689
155.0,427,1046.255898
165.0,390,1048.397944
285.0,881,1053.158733
130.0,479,1055.699413
100.0,450,1058.118935
210.0,533,1060.980643
215.0,578,1064.114752
30.0,304,1065.764603
260.0,742,1069.870625
210.0,582,1073.08885
520.0,727,1077.032543
185.0,422,1079.377004
180.0,529,1082.257234
155.0,505,1084.954707
210.0,529,1087.856169
120.0,346,1089.727707
65.0,373,1091.730971
420.0,797,1096.075366
60.0,282,1097.624358
225.0,647,1101.181231
105.0,418,1103.463453
180.0,505,1106.248927
185.0,603,1109.510119
135.0,457,1111.974275
210.0,387,1114.103868
240.0,688,1117.809004
215.0,574,1120.952862
285.0,722,1124.83503
530.0,887,1129.656798
265.0,712,1133.458164
20.0,323,1135.228652
210.0,620,1138.652667
225.0,707,1142.468024
135.0,471,1145.035888
225.0,678,1148.725848
105.0,498,1151.392966
410.0,705,1155.212115
125.0,372,1157.250356
440.0,691,1160.95018
240.0,650,1164.508749
80.0,280,1166.021541
225.0,613,1169.327826
